event_id,commence_time,home_team,away_team,home_spread,away_spread,total_line,home_ml,away_ml,favorite,underdog,spread,fanduel_home_ml,fanduel_away_ml,fanduel_home_spread,fanduel_home_spread_price,fanduel_away_spread,fanduel_away_spread_price,fanduel_over,fanduel_over_price,fanduel_under,fanduel_under_price,draftkings_home_ml,draftkings_away_ml,draftkings_home_spread,draftkings_home_spread_price,draftkings_away_spread,draftkings_away_spread_price,draftkings_over,draftkings_over_price,draftkings_under,draftkings_under_price,barstool_home_ml,barstool_away_ml,barstool_home_spread,barstool_home_spread_price,barstool_away_spread,barstool_away_spread_price,barstool_over,barstool_over_price,barstool_under,barstool_under_price,sugarhouse_home_ml,sugarhouse_away_ml,sugarhouse_home_spread,sugarhouse_home_spread_price,sugarhouse_away_spread,sugarhouse_away_spread_price,sugarhouse_over,sugarhouse_over_price,sugarhouse_under,sugarhouse_under_price,twinspires_home_ml,twinspires_away_ml,twinspires_home_spread,twinspires_home_spread_price,twinspires_away_spread,twinspires_away_spread_price,twinspires_over,twinspires_over_price,twinspires_under,twinspires_under_price,unibet_us_home_ml,unibet_us_away_ml,unibet_us_home_spread,unibet_us_home_spread_price,unibet_us_away_spread,unibet_us_away_spread_price,unibet_us_over,unibet_us_over_price,unibet_us_under,unibet_us_under_price,pointsbetus_home_ml,pointsbetus_away_ml,pointsbetus_home_spread,pointsbetus_home_spread_price,pointsbetus_away_spread,pointsbetus_away_spread_price,pointsbetus_over,pointsbetus_over_price,pointsbetus_under,pointsbetus_under_price,betrivers_home_ml,betrivers_away_ml,betrivers_home_spread,betrivers_home_spread_price,betrivers_away_spread,betrivers_away_spread_price,betrivers_over,betrivers_over_price,betrivers_under,betrivers_under_price,betonlineag_home_ml,betonlineag_away_ml,betonlineag_home_spread,betonlineag_home_spread_price,betonlineag_away_spread,betonlineag_away_spread_price,betonlineag_over,betonlineag_over_price,betonlineag_under,betonlineag_under_price,lowvig_home_ml,lowvig_away_ml,lowvig_home_spread,lowvig_home_spread_price,lowvig_away_spread,lowvig_away_spread_price,lowvig_over,lowvig_over_price,lowvig_under,lowvig_under_price,circasports_home_ml,circasports_away_ml,circasports_home_spread,circasports_home_spread_price,circasports_away_spread,circasports_away_spread_price,circasports_over,circasports_over_price,circasports_under,circasports_under_price,williamhill_us_home_ml,williamhill_us_away_ml,williamhill_us_home_spread,williamhill_us_home_spread_price,williamhill_us_away_spread,williamhill_us_away_spread_price,williamhill_us_over,williamhill_us_over_price,williamhill_us_under,williamhill_us_under_price,bovada_home_ml,bovada_away_ml,bovada_home_spread,bovada_home_spread_price,bovada_away_spread,bovada_away_spread_price,bovada_over,bovada_over_price,bovada_under,bovada_under_price,betus_home_ml,betus_away_ml,betus_home_spread,betus_home_spread_price,betus_away_spread,betus_away_spread_price,betus_over,betus_over_price,betus_under,betus_under_price,superbook_home_ml,superbook_away_ml,superbook_home_spread,superbook_home_spread_price,superbook_away_spread,superbook_away_spread_price,superbook_over,superbook_over_price,superbook_under,superbook_under_price,betmgm_home_ml,betmgm_away_ml,betmgm_home_spread,betmgm_home_spread_price,betmgm_away_spread,betmgm_away_spread_price,betmgm_over,betmgm_over_price,betmgm_under,betmgm_under_price,mybookieag_home_ml,mybookieag_away_ml,mybookieag_home_spread,mybookieag_home_spread_price,mybookieag_away_spread,mybookieag_away_spread_price,mybookieag_over,mybookieag_over_price,mybookieag_under,mybookieag_under_price,wynnbet_home_ml,wynnbet_away_ml,wynnbet_home_spread,wynnbet_home_spread_price,wynnbet_away_spread,wynnbet_away_spread_price,wynnbet_over,wynnbet_over_price,wynnbet_under,wynnbet_under_price,foxbet_home_ml,foxbet_away_ml,foxbet_home_spread,foxbet_home_spread_price,foxbet_away_spread,foxbet_away_spread_price,foxbet_over,foxbet_over_price,foxbet_under,foxbet_under_price,year
1b74a95273c62e4e7ef59705d1b6f945,2023-03-16T16:15:00Z,Maryland Terrapins,West Virginia Mountaineers,2.6,-2.6,137.7,124.0,-149.0,West Virginia Mountaineers,Maryland Terrapins,-2.6,116.0,-140.0,2.5,-112.0,-2.5,-108.0,137.5,-110.0,137.5,-110.0,120.0,-140.0,2.5,-110.0,-2.5,-110.0,137.5,-110.0,137.5,-110.0,123.0,-148.0,2.5,-114.0,-2.5,-106.0,138.5,-107.0,138.5,-113.0,123.0,-148.0,2.5,-114.0,-2.5,-106.0,138.5,-107.0,138.5,-113.0,123.0,-159.0,2.5,-114.0,-2.5,-106.0,138.5,-107.0,138.5,-113.0,123.0,-159.0,2.5,-114.0,-2.5,-106.0,138.5,-107.0,138.5,-113.0,125.0,-145.0,2.5,-110.0,-2.5,-110.0,137.5,-110.0,137.5,-110.0,123.0,-148.0,2.5,-114.0,-2.5,-106.0,138.5,-107.0,138.5,-113.0,140.0,-161.0,3.0,-108.0,-3.0,-114.0,137.5,-105.0,137.5,-115.0,140.0,-160.0,3.0,-103.0,-3.0,-109.0,137.5,-103.0,137.5,-113.0,113.0,-137.0,2.0,-108.0,-2.0,-113.0,136.5,-110.0,136.5,-110.0,118.0,-140.0,2.5,-110.0,-2.5,-110.0,137.5,-110.0,137.5,-110.0,130.0,-150.0,3.0,-110.0,-3.0,-110.0,137.5,-110.0,137.5,-110.0,130.0,-150.0,3.0,-105.0,-3.0,-115.0,137.5,-110.0,137.5,-110.0,130.0,-150.0,3.0,-110.0,-3.0,-110.0,137.5,-110.0,137.5,-110.0,120.0,-145.0,2.5,-105.0,-2.5,-115.0,137.5,-110.0,137.5,-110.0,119.0,-147.0,2.5,-110.0,-2.5,-110.0,137.5,-110.0,137.5,-110.0,,,,,,,,,,,,,,,,,,,,,2023
3a1f9cf276cc5d98e571706e21cdf5ad,2023-03-16T16:40:00Z,Virginia Cavaliers,Furman Paladins,-5.5,5.5,131.9,-246.0,200.0,Virginia Cavaliers,Furman Paladins,-5.5,-240.0,195.0,-5.5,-110.0,5.5,-110.0,131.5,-115.0,131.5,-105.0,-240.0,200.0,-5.5,-110.0,5.5,-110.0,132.0,-115.0,132.0,-105.0,-240.0,195.0,-5.5,-113.0,5.5,-108.0,132.0,-107.0,132.0,-113.0,-240.0,195.0,-5.5,-113.0,5.5,-108.0,132.0,-107.0,132.0,-113.0,-250.0,195.0,-5.5,-113.0,5.5,-108.0,132.0,-107.0,132.0,-113.0,-250.0,195.0,-5.5,-113.0,5.5,-108.0,132.0,-107.0,132.0,-113.0,-250.0,200.0,-5.5,-110.0,5.5,-110.0,132.0,-110.0,132.0,-110.0,-240.0,195.0,-5.5,-113.0,5.5,-108.0,132.0,-107.0,132.0,-113.0,-256.0,212.0,-5.5,-105.0,5.5,-115.0,132.0,-111.0,132.0,-111.0,-252.0,212.0,-5.5,-101.0,5.5,-111.0,132.0,-108.0,132.0,-108.0,-257.0,205.0,,,,,132.0,-108.0,132.0,-113.0,-250.0,205.0,-6.0,-110.0,6.0,-110.0,132.0,-110.0,132.0,-110.0,,,,,,,132.0,-110.0,132.0,-110.0,-235.0,195.0,-5.5,-110.0,5.5,-110.0,132.0,-110.0,132.0,-110.0,-245.0,205.0,-5.5,-110.0,5.5,-110.0,132.0,-110.0,132.0,-110.0,-250.0,200.0,-5.5,-110.0,5.5,-110.0,131.5,-110.0,131.5,-110.0,-238.0,190.0,-5.5,-110.0,5.5,-110.0,132.0,-110.0,132.0,-110.0,,,,,,,,,,,,,,,,,,,,,2023
f5d9e5e781c342805d2d5c44adc7d2ef,2023-03-16T17:40:00Z,Missouri Tigers,Utah State Aggies,1.4,-1.4,155.3,92.0,-124.0,Utah State Aggies,Missouri Tigers,-1.4,105.0,-126.0,1.5,-106.0,-1.5,-114.0,155.5,-115.0,155.5,-105.0,100.0,-120.0,1.0,-105.0,-1.0,-115.0,155.0,-110.0,155.0,-110.0,102.0,-122.0,1.5,-112.0,-1.5,-109.0,155.5,-110.0,155.5,-110.0,102.0,-122.0,1.5,-112.0,-1.5,-109.0,155.5,-110.0,155.5,-110.0,102.0,-122.0,1.5,-112.0,-1.5,-109.0,155.5,-110.0,155.5,-110.0,102.0,-122.0,1.5,-112.0,-1.5,-109.0,155.5,-110.0,155.5,-110.0,105.0,-125.0,1.5,-110.0,-1.5,-110.0,155.0,-110.0,155.0,-110.0,102.0,-122.0,1.5,-112.0,-1.5,-109.0,155.5,-110.0,155.5,-110.0,104.0,-125.0,1.0,-105.0,-1.0,-115.0,155.0,-111.0,155.0,-111.0,105.0,-125.0,1.0,-101.0,-1.0,-111.0,155.0,-108.0,155.0,-108.0,-104.0,-117.0,1.0,-110.0,-1.0,-110.0,155.5,-113.0,155.5,-108.0,110.0,-130.0,1.0,-110.0,-1.0,-110.0,155.5,-110.0,155.5,-110.0,105.0,-125.0,1.5,-110.0,-1.5,-110.0,155.0,-110.0,155.0,-110.0,105.0,-125.0,1.5,-110.0,-1.5,-110.0,155.0,-110.0,155.0,-110.0,105.0,-125.0,1.5,-110.0,-1.5,-110.0,155.5,-110.0,155.5,-110.0,105.0,-125.0,1.5,-110.0,-1.5,-110.0,155.5,-110.0,155.5,-110.0,102.0,-125.0,1.5,-110.0,-1.5,-110.0,155.5,-110.0,155.5,-110.0,,,,,,,,,,,,,,,,,,,,,2023
7a77cf185134604be4860adac6500d10,2023-03-16T18:00:00Z,Kansas Jayhawks,Howard Bison,-22.3,22.3,145.8,-7225.0,1610.0,Kansas Jayhawks,Howard Bison,-22.3,-8000.0,2200.0,-22.5,-105.0,22.5,-115.0,145.5,-110.0,145.5,-110.0,-5000.0,1700.0,-22.0,-110.0,22.0,-110.0,145.5,-115.0,145.5,-105.0,-5000.0,1200.0,-23.0,-110.0,23.0,-120.0,145.5,-109.0,145.5,-112.0,-5000.0,1200.0,-23.0,-110.0,23.0,-120.0,145.5,-109.0,145.5,-112.0,-5000.0,1200.0,-23.0,-110.0,23.0,-120.0,145.5,-109.0,145.5,-112.0,-5000.0,1200.0,-23.0,-110.0,23.0,-120.0,145.5,-109.0,145.5,-112.0,-6994.0,2000.0,-22.0,-110.0,22.0,-106.0,146.0,-110.0,146.0,-110.0,-5000.0,1200.0,-23.0,-110.0,23.0,-120.0,145.5,-109.0,145.5,-112.0,-10000.0,1600.0,-22.0,-111.0,22.0,-111.0,146.0,-111.0,146.0,-111.0,-5882.0,1600.0,-22.0,-106.0,22.0,-106.0,146.0,-108.0,146.0,-108.0,,,-21.5,-115.0,21.5,-106.0,146.0,-110.0,146.0,-110.0,-10000.0,2000.0,-22.0,-110.0,22.0,-110.0,146.0,-110.0,146.0,-110.0,-10000.0,1600.0,-22.0,-110.0,22.0,-110.0,146.0,-110.0,146.0,-110.0,,,-22.0,-110.0,22.0,-110.0,146.0,-110.0,146.0,-110.0,-10000.0,2000.0,-22.0,-110.0,22.0,-110.0,146.0,-110.0,146.0,-110.0,-5000.0,1600.0,-21.5,-115.0,21.5,-105.0,145.5,-110.0,145.5,-110.0,-12500.0,1850.0,-22.5,-110.0,22.5,-110.0,146.0,-110.0,146.0,-110.0,,,,,,,,,,,,,,,,,,,,,2023
ee9d09820ed537d2eef4359c21e3dedb,2023-03-16T18:45:00Z,Alabama Crimson Tide,Texas A&M-CC Islanders,-24.1,24.1,154.9,-8845.0,1861.0,Alabama Crimson Tide,Texas A&M-CC Islanders,-24.1,-10000.0,2400.0,-23.5,-120.0,23.5,-102.0,154.5,-110.0,154.5,-110.0,-12500.0,2500.0,-24.0,-110.0,24.0,-110.0,154.5,-110.0,154.5,-110.0,-5000.0,1400.0,-24.0,-110.0,24.0,-109.0,155.5,-110.0,155.5,-109.0,-5000.0,1400.0,-24.0,-110.0,24.0,-109.0,155.5,-110.0,155.5,-109.0,-5000.0,1400.0,-24.0,-110.0,24.0,-109.0,155.5,-110.0,155.5,-109.0,-5000.0,1400.0,-24.0,-110.0,24.0,-109.0,155.5,-110.0,155.5,-109.0,-8000.0,2000.0,-24.0,-110.0,24.0,-110.0,154.5,-110.0,154.5,-110.0,-5000.0,1400.0,-24.0,-110.0,24.0,-109.0,155.5,-110.0,155.5,-109.0,-10000.0,1750.0,-24.5,-105.0,24.5,-115.0,154.5,-112.0,154.5,-109.0,-8333.0,1750.0,-24.5,-101.0,24.5,-111.0,154.5,-110.0,154.5,-106.0,,,-24.0,-110.0,24.0,-110.0,155.5,-108.0,155.5,-113.0,-15000.0,2200.0,-24.0,-110.0,24.0,-110.0,155.5,-110.0,155.5,-110.0,,,,,,,154.5,-110.0,154.5,-110.0,,,-24.5,-110.0,24.5,-110.0,154.5,-110.0,154.5,-110.0,-10000.0,2000.0,-24.0,-110.0,24.0,-110.0,154.5,-110.0,154.5,-110.0,-10000.0,2200.0,-24.5,-110.0,24.5,-110.0,154.5,-110.0,154.5,-110.0,-15000.0,2250.0,-24.5,-110.0,24.5,-110.0,155.0,-110.0,155.0,-110.0,,,,,,,,,,,,,,,,,,,,,2023
9a030d3e4b9183be26c5f4cd0a82a1e7,2023-03-16T19:10:00Z,San Diego St Aztecs,Charleston Cougars,-5.0,5.0,142.0,-227.0,183.0,San Diego St Aztecs,Charleston Cougars,-5.0,-205.0,168.0,-4.5,-120.0,4.5,-102.0,141.5,-110.0,141.5,-110.0,-225.0,190.0,-5.0,-110.0,5.0,-110.0,142.5,-105.0,142.5,-115.0,-235.0,185.0,-5.0,-112.0,5.0,-108.0,141.5,-109.0,141.5,-110.0,-235.0,185.0,-5.0,-112.0,5.0,-108.0,141.5,-109.0,141.5,-110.0,-235.0,185.0,-5.0,-112.0,5.0,-108.0,141.5,-109.0,141.5,-110.0,-235.0,185.0,-5.0,-112.0,5.0,-108.0,141.5,-109.0,141.5,-110.0,,,,,,,,,,,-235.0,185.0,-5.0,-112.0,5.0,-108.0,141.5,-109.0,141.5,-110.0,,,,,,,,,,,,,,,,,,,,,-239.0,191.0,-5.5,-108.0,5.5,-113.0,142.5,-110.0,142.5,-110.0,-225.0,185.0,-5.0,-110.0,5.0,-110.0,142.5,-110.0,142.5,-110.0,-220.0,180.0,-5.0,-110.0,5.0,-110.0,142.0,-110.0,142.0,-110.0,-220.0,180.0,-5.5,-110.0,5.5,-110.0,142.5,-110.0,142.5,-110.0,-215.0,185.0,-5.0,-110.0,5.0,-110.0,142.5,-110.0,142.5,-110.0,-225.0,180.0,-4.5,-115.0,4.5,-105.0,142.5,-110.0,142.5,-110.0,-227.0,180.0,-5.0,-110.0,5.0,-110.0,142.5,-110.0,142.5,-110.0,,,,,,,,,,,,,,,,,,,,,2023
d5bb6a5dc3357dd3be5e15c4d2ff045b,2023-03-16T20:10:00Z,Arizona Wildcats,Princeton Tigers,-14.8,14.8,153.8,-1270.0,685.0,Arizona Wildcats,Princeton Tigers,-14.8,,,,,,,,,,,,,,,,,,,,,-1115.0,500.0,-15.0,-109.0,15.0,-112.0,154.0,-108.0,154.0,-113.0,,,,,,,,,,,-1115.0,500.0,-15.0,-109.0,15.0,-112.0,154.0,-108.0,154.0,-113.0,,,,,,,,,,,,,,,,,,,,,-1115.0,500.0,-15.0,-109.0,15.0,-112.0,154.0,-108.0,154.0,-113.0,-1429.0,790.0,-14.5,-115.0,14.5,-105.0,153.0,-115.0,153.0,-105.0,-1299.0,790.0,-14.5,-111.0,14.5,-101.0,153.0,-113.0,153.0,-103.0,-1429.0,751.0,-14.5,-113.0,14.5,-108.0,154.5,-110.0,154.5,-110.0,,,,,,,,,,,-1200.0,700.0,-14.5,-110.0,14.5,-110.0,153.5,-110.0,153.5,-110.0,-1250.0,775.0,-14.5,-110.0,14.5,-110.0,153.5,-110.0,153.5,-110.0,-1500.0,850.0,-15.0,-110.0,15.0,-110.0,153.5,-110.0,153.5,-110.0,,,,,,,,,,,-1250.0,691.0,-15.0,-110.0,15.0,-110.0,154.5,-110.0,154.5,-110.0,,,,,,,,,,,,,,,,,,,,,2023
82913f50d1e8ba4984df8d6909e46e58,2023-03-16T20:30:00Z,Arkansas Razorbacks,Illinois Fighting Illini,-1.9,1.9,144.0,-135.0,112.0,Arkansas Razorbacks,Illinois Fighting Illini,-1.9,-128.0,106.0,-1.5,-115.0,1.5,-105.0,143.5,-110.0,143.5,-110.0,-135.0,115.0,-2.0,-110.0,2.0,-110.0,144.5,-105.0,144.5,-115.0,-136.0,110.0,-2.0,-107.0,2.0,-114.0,143.5,-109.0,143.5,-110.0,-136.0,110.0,-2.0,-107.0,2.0,-114.0,143.5,-109.0,143.5,-110.0,-137.0,110.0,-2.0,-107.0,2.0,-114.0,143.5,-109.0,143.5,-110.0,-137.0,110.0,-2.0,-107.0,2.0,-114.0,143.5,-109.0,143.5,-110.0,-130.0,110.0,-2.0,-110.0,2.0,-110.0,144.0,-110.0,144.0,-110.0,-136.0,110.0,-2.0,-107.0,2.0,-114.0,143.5,-109.0,143.5,-110.0,-135.0,115.0,-2.0,-111.0,2.0,-111.0,144.5,-111.0,144.5,-111.0,-135.0,115.0,-2.0,-106.0,2.0,-106.0,144.5,-108.0,144.5,-108.0,-137.0,113.0,,,,,143.0,-110.0,143.0,-110.0,-135.0,115.0,-2.0,-110.0,2.0,-110.0,144.5,-110.0,144.5,-110.0,,,,,,,144.0,-110.0,144.0,-110.0,-135.0,115.0,-2.0,-110.0,2.0,-110.0,144.5,-110.0,144.5,-110.0,-135.0,115.0,-2.0,-110.0,2.0,-110.0,144.5,-110.0,144.5,-110.0,-135.0,110.0,-1.5,-115.0,1.5,-105.0,144.5,-110.0,144.5,-110.0,-135.0,110.0,-2.0,-110.0,2.0,-110.0,144.5,-110.0,144.5,-110.0,,,,,,,,,,,,,,,,,,,,,2023
baad94d4ea8b490b8bf5af047de86454,2023-03-16T22:50:00Z,Iowa Hawkeyes,Auburn Tigers,1.2,-1.2,151.5,77.0,-121.0,Auburn Tigers,Iowa Hawkeyes,-1.2,-108.0,-111.0,1.5,-118.0,-1.5,-104.0,151.5,-110.0,151.5,-110.0,100.0,-120.0,1.0,-110.0,-1.0,-110.0,151.5,-110.0,151.5,-110.0,102.0,-120.0,1.0,-107.0,-1.0,-113.0,151.0,-110.0,151.0,-109.0,102.0,-120.0,1.0,-107.0,-1.0,-113.0,151.0,-110.0,151.0,-109.0,100.0,-121.0,1.0,-107.0,-1.0,-113.0,151.0,-110.0,151.0,-109.0,100.0,-121.0,1.0,-107.0,-1.0,-113.0,151.0,-110.0,151.0,-109.0,100.0,-120.0,1.0,-110.0,-1.0,-110.0,151.0,-110.0,151.0,-110.0,102.0,-120.0,1.0,-107.0,-1.0,-113.0,151.0,-110.0,151.0,-109.0,104.0,-125.0,1.5,-111.0,-1.5,-111.0,152.0,-105.0,152.0,-115.0,105.0,-125.0,1.5,-106.0,-1.5,-106.0,152.0,-103.0,152.0,-113.0,-106.0,-115.0,,,,,152.5,-110.0,152.5,-110.0,105.0,-125.0,1.0,-110.0,-1.0,-110.0,151.5,-110.0,151.5,-110.0,105.0,-125.0,1.5,-110.0,-1.5,-110.0,151.5,-110.0,151.5,-110.0,105.0,-125.0,1.5,-110.0,-1.5,-110.0,151.5,-110.0,151.5,-110.0,100.0,-120.0,1.5,-110.0,-1.5,-110.0,151.5,-110.0,151.5,-110.0,100.0,-120.0,1.5,-115.0,-1.5,-105.0,151.5,-115.0,151.5,-105.0,100.0,-121.0,1.5,-110.0,-1.5,-110.0,152.0,-110.0,152.0,-110.0,,,,,,,,,,,,,,,,,,,,,2023
48ad0cc33bd736e0d6b86025a9b300d0,2023-03-16T23:10:00Z,Duke Blue Devils,Oral Roberts Golden Eagles,-6.1,6.1,146.0,-276.0,224.0,Duke Blue Devils,Oral Roberts Golden Eagles,-6.1,-260.0,210.0,-6.5,-106.0,6.5,-114.0,145.5,-115.0,145.5,-105.0,-265.0,225.0,-6.0,-110.0,6.0,-110.0,146.0,-110.0,146.0,-110.0,-278.0,225.0,-6.0,-109.0,6.0,-110.0,146.0,-112.0,146.0,-108.0,-278.0,225.0,-6.0,-109.0,6.0,-110.0,146.0,-112.0,146.0,-108.0,-278.0,220.0,-6.0,-109.0,6.0,-110.0,146.0,-112.0,146.0,-108.0,-278.0,220.0,-6.0,-109.0,6.0,-110.0,146.0,-112.0,146.0,-108.0,-275.0,230.0,-6.0,-110.0,6.0,-110.0,146.0,-110.0,146.0,-110.0,-278.0,225.0,-6.0,-109.0,6.0,-110.0,146.0,-112.0,146.0,-108.0,-278.0,230.0,-6.0,-111.0,6.0,-111.0,146.0,-111.0,146.0,-111.0,-275.0,230.0,-6.0,-106.0,6.0,-106.0,146.0,-108.0,146.0,-108.0,-295.0,230.0,,,,,146.0,-110.0,146.0,-110.0,-285.0,228.0,-6.0,-110.0,6.0,-110.0,146.0,-110.0,146.0,-110.0,-280.0,230.0,-6.0,-110.0,6.0,-110.0,146.0,-110.0,146.0,-110.0,-250.0,205.0,-6.0,-110.0,6.0,-110.0,146.0,-110.0,146.0,-110.0,-280.0,240.0,-6.0,-110.0,6.0,-110.0,146.0,-110.0,146.0,-110.0,-275.0,225.0,-6.5,-105.0,6.5,-115.0,145.5,-115.0,145.5,-105.0,-277.0,215.0,-6.5,-110.0,6.5,-110.0,146.5,-110.0,146.5,-110.0,,,,,,,,,,,,,,,,,,,,,2023
